ID,Name,Category
14146,法术掌握手套,装备-法系
18809,耳语秘言腰带,装备-法系
19131,雪盲软靴,装备-法系
19133,魔能护腿,装备-法系
19145,波动长袍,装备-法系
19375,密苏达尔，夺魂者的头饰,装备-法系
19400,火喉之握,装备-法系
19407,黑焰手套,装备-法系
19438,林格的暴风雪长靴,装备-法系
20626,黑色树皮护腕,装备-法系
21186,岩石怒火护腕,装备-法系
21585,黑暗风暴护手,装备-法系
21600,显灵长靴,装备-法系
21611,掘地虫护腕,装备-法系
21676,腐烂虫群护腿,装备-法系
21697,神性披风,装备-披风
22730,眼柄腰带,装备-法系
22731,被吞噬者的披风,装备-披风
22983,蒙霜衬肩,装备-法系
23021,灵魂收割者的护腕,装备-法系
23035,导师之帽,装备-法系
23069,死灵骑士的外衣,装备-法系
23070,极性护腿,装备-法系
23220,水晶网袍,装备-法系
20264,和平守护者护手,装备-治疗
21604,皇家救赎腕轮,装备-治疗
14553,怜悯,装备-治疗
18510,野性之皮,装备-披风
19139,火焰卫士护肩,装备-防御
17107,龙血斗篷,装备-披风
19149,熔岩腰带,装备-防御
19146,稳固护腕,装备-物理
18823,古代熔火皮手套,装备-物理
19132,水晶头冠,装备-治疗
18810,狂野肩铠,装备-治疗
18263,光芒护腕,装备-治疗
19162,熔火犬皮腰带,装备-治疗
18875,火蜥蜴鳞片短裤,装备-治疗
19389,紧绷的龙皮护肩,装备-防御
19386,源质丝线披风,装备-披风
19405,玛法里奥的祝福,装备-防御
19381,暗影烈焰长靴,装备-防御
19436,飞龙披风,装备-披风
19396,紧绷的龙皮腰带,装备-物理
19430,纯净思想斗篷,装备-披风
19385,强能护腿,装备-治疗
20623,躁动梦境头饰,装备-防御
20627,黑暗之心短裤,装备-防御
20628,异常生长之帽,装备-治疗
21693,吞噬者之帽,装备-防御
21602,其拉死刑护腕,装备-防御
21605,隐秘神殿手套,装备-防御
21675,厚重其拉腰带,装备-防御
22740,护卫的皮裤,装备-防御
22749,哨兵的皮裤,装备-防御
21665,邪恶复仇衬肩,装备-物理
21701,强烈仇恨披风,装备-披风
21680,处决者的外衣,装备-物理
21672,强制者手套,装备-物理
21586,无尽痛苦腰带,装备-物理
21493,前锋之靴,装备-物理
21583,明晰披风,装备-披风
21663,守护圣徒长袍,装备-治疗
21617,黄蜂外壳护手,装备-治疗
21582,上古之神的拥抱,装备-治疗
19437,纯净思想长靴,装备-治疗
22938,地穴恶魔丝质披风,装备-披风
23226,食尸鬼皮外套,装备-防御
22663,北极护腕,装备-防御
21710,堕落神明披风,装备-披风
23071,天启护腿,装备-物理
22960,缝合披风,装备-披风
19136,燃魔腰带,装备-法系
19370,黑翼衬肩,装备-法系
19378,龙王披风,装备-披风
19374,奥术精准护腕,装备-法系
23050,大墓地披风,装备-披风
17102,环雾披风,装备-披风
23045,支配披风,装备-披风
14152,大法师之袍,装备-物理
19857,吞噬披风,装备-披风
21461,黑色暴风雪护腿,装备-物理
19390,紧绷的龙皮手套,装备-治疗
21667,闪耀光芒腿甲,装备-治疗
14554,踏云腿甲,装备-物理
12640,狮心头盔,装备-物理
19143,烈焰守卫护手,装备-物理
19137,冲击束带,装备-物理
19394,龙爪肩铠,装备-物理
19402,堕落十字军腿甲,装备-物理
19387,多彩长靴,装备-物理
21618,虫巢污染者护腕,装备-物理
21623,正义勇士护手,装备-物理
21463,奥斯里安的束缚,装备-物理
22936,复仇腕甲,装备-物理
23219,教官的腰带,装备-物理
14552,牢狱肩甲,装备-防御
18806,熔火胫甲,装备-防御
19855,浸血腿甲,装备-防御
21639,冷酷者肩铠,装备-防御
21674,坚定信念护手,装备-防御
21598,皇家其拉腰带,装备-防御
21706,坚定意志长靴,装备-防御
14154,信念外衣,装备-治疗
21615,瑞格贝托的帽子,装备-治疗
21619,救世者手套,装备-治疗
19398,火喉披风,装备-披风
18829,地核护肩,装备-法系
19391,闪光之鞋,装备-治疗
21671,作战卫士长袍,装备-法系
21464,无疤者镣铐,装备-法系
18817,毁灭王冠,装备-物理
19157,多彩护手,装备-物理
19380,塞拉赞恩之链,装备-物理
21684,沙漠狂暴衬肩,装备-物理
21624,卡利姆多护手,装备-物理
21651,缀鳞沙漠掠夺者护腿,装备-物理
21705,堕落先知长靴,装备-物理
14153,虚空法袍,装备-物理
14551,剑师护手,装备-物理
18541,强者斗篷,装备-披风
21814,灭绝胸甲,装备-物理
22385,泰坦护腿,装备-物理
21581,毁灭护手,装备-物理
23000,钉板憎恶胸骨,装备-物理
